run_id;date;parent_run_id;parent_script;baseline_reference;queue_test_id;main_parameter;main_from;main_to;dependent_parameter;dependent_from;dependent_to;expected_effect;status;preflight_pass;no_op_detected;effective_change_check;w8_weeks_traded;w24_weeks_traded;w52_weeks_traded;w8_trades;w24_trades;w52_trades;w8_wins;w24_wins;w52_wins;w8_losses;w24_losses;w52_losses;w8_ties;w24_ties;w52_ties;w8_pnl;w24_pnl;w52_pnl;w8_spy_compare;w24_spy_compare;w52_spy_compare;accepted_or_rejected;notes;run_dir
EXP_1053;2026-04-30 14:29:29;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1053_260430142928
EXP_1054;2026-04-30 14:29:37;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1054_260430142937
EXP_1055;2026-04-30 14:29:45;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1055_260430142944
EXP_1056;2026-04-30 14:29:53;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1056_260430142952
EXP_1057;2026-04-30 14:30:01;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1057_260430143000
EXP_1058;2026-04-30 14:30:09;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1058_260430143008
EXP_1059;2026-04-30 14:30:18;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1059_260430143016
EXP_1060;2026-04-30 14:30:26;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1060_260430143025
EXP_1061;2026-04-30 14:30:34;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1061_260430143033
EXP_1062;2026-04-30 14:30:42;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1062_260430143041
EXP_1063;2026-04-30 14:30:50;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1063_260430143049
EXP_1064;2026-04-30 14:30:58;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1064_260430143057
EXP_1065;2026-04-30 14:31:05;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1065_260430143105
EXP_1066;2026-04-30 14:31:14;EXP_396;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_396_260430030030\spy_context_asset_profile_configurable_regime_weeks_gated_close_vs_sma50_1_5_FIXED_GATES_EXP_396.py;EXP_229;;;;;;;;Sin propuesta valida: se evita emitir no-op.;blocked_no_material_candidate;false;true;"{""no_material_candidate_found"": true, ""proposal_invalid"": false, ""no_op_detected"": true, ""active_logic_changed"": false}";;;;;;;;;;;;;;;;;;;;;;rejected;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1066_260430143112
