run_id;date;parent_run_id;status;accepted_or_rejected;main_parameter;main_to;dependent_parameter;dependent_to;strategy_family;profile_mode;min_spy_channel_r2;max_avg_profile_distance;enable_close_vs_sma50_filter;max_close_vs_sma50_pct;top_candidates_next_week;w8_weeks_traded;w24_weeks_traded;w52_weeks_traded;w8_trades;w24_trades;w52_trades;w8_wins;w24_wins;w52_wins;w8_losses;w24_losses;w52_losses;w8_ties;w24_ties;w52_ties;w8_avg_net_return_pct;w24_avg_net_return_pct;w52_avg_net_return_pct;w8_total_net_pnl_dollars;w24_total_net_pnl_dollars;w52_total_net_pnl_dollars;w8_spy_compare;w24_spy_compare;w52_spy_compare;run_dir
EXP_1290;2026-05-01 01:36:04;BASELINE_CLEAN;run_ok;accepted;MAX_AVG_PROFILE_DISTANCE;0.18;;;;;;;;;;2;3;23;10;15;115;6;8;36;0;2;43;4;5;36;4,92;4,18666666667;1,64063565217;246;314;943,3653;4,41595441052;2,87480241439;1,16889905859;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1290_260501010811
EXP_1291;2026-05-02 15:30:58;EXP_185;run_ok;accepted;MAX_CLOSE_VS_SMA50_PCT;0.75;;;;;;;;;;1;1;12;2;2;24;2;2;7;0;0;7;0;0;10;7,02;7,02;2,645;70,2;70,2;317,4;8,95597799414;8,95597799414;2,3339717735;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1291_260502151153
EXP_1292;2026-05-02 15:54:06;EXP_1291;run_ok;accepted;MIN_SPY_CHANNEL_R2;0.5;;;;;;;;;;3;5;16;6;10;32;3;5;10;2;2;9;1;3;13;1,35333333333;3,32;2,5825;40,6;166;413,2;1,07545918752;2,6531722916;2,01984654662;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1292_260502154235
EXP_1293;2026-05-02 16:16:40;EXP_1292;run_ok;accepted;MAX_CLOSE_VS_SMA50_PCT;0.9;;;;;;;;;;3;5;16;6;10;32;3;5;11;2;2;8;1;3;13;1,35333333333;3,32;2,895;40,6;166;463,2;1,07545918752;2,6531722916;2,33234654662;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1293_260502155423
EXP_1294;2026-05-02 16:33:26;EXP_1293;run_ok;rejected;MIN_SPY_CHANNEL_R2;0.47;;;;;;;;;;3;5;16;6;10;32;3;5;11;2;2;8;1;3;13;1,35333333333;3,32;2,895;40,6;166;463,2;1,07545918752;2,6531722916;2,33234654662;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1294_260502161651
EXP_1295;2026-05-02 16:45:07;EXP_1293;run_ok;rejected;MAX_CLOSE_VS_SMA50_PCT;1.05;;;;;;;;;;3;5;16;6;10;32;3;5;11;2;2;8;1;3;13;1,35333333333;3,32;2,895;40,6;166;463,2;1,07545918752;2,6531722916;2,33234654662;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1295_260502163801
EXP_1320;2026-05-02 17:17:42;EXP_1293;run_ok;rejected;TOP_SIMILAR_SPY_WEEKS;28;;;;;;;;;;3;5;18;6;10;36;3;4;9;2;3;11;1;3;16;2,18666666667;2,82;1,90888888889;65,6;141;343,6;1,90879252085;2,1531722916;1,37153400875;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1320_260502170024
EXP_1327;2026-05-02 17:28:38;EXP_1293;run_ok;rejected;TOP_CANDIDATES_NEXT_WEEK;3;;;;;;;;;;2;4;15;6;12;45;4;6;14;0;0;13;2;6;18;4,85333333333;4,60333333333;2,36444444444;145,6;276,2;532;4,34928774385;3,72618151245;1,7526495114;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1327_260502172138
EXP_1335;2026-05-02 17:39:40;EXP_1293;run_ok;accepted;MIN_SPY_CHANNEL_R2;0.6;;;;;;;;;;1;1;12;2;2;24;2;2;8;0;0;6;0;0;10;7,02;7,02;3,06166666667;70,2;70,2;367,4;8,95597799414;8,95597799414;2,75063844017;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1335_260502173312
EXP_1336;2026-05-02 17:46:38;EXP_1335;run_ok;rejected;MAX_CLOSE_VS_SMA50_PCT;1.05;;;;;;;;;;1;1;12;2;2;24;2;2;8;0;0;6;0;0;10;7,02;7,02;3,06166666667;70,2;70,2;367,4;8,95597799414;8,95597799414;2,75063844017;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1336_260502173955
